biosample	predictionFile	GTExTissue
cerebral_cortex_ENCSR436EFM	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/cerebral_cortex_ENCSR436EFM_predictions.tsv.gz	Brain_Cortex
prostate_gland_ENCSR183TCQ	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/prostate_gland_ENCSR183TCQ_predictions.tsv.gz	Prostate
prostate_gland_ENCSR682XOU	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/prostate_gland_ENCSR682XOU_predictions.tsv.gz	Prostate
skeletal_muscle_tissue_ENCSR616ZKX	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/skeletal_muscle_tissue_ENCSR616ZKX_predictions.tsv.gz	Muscle_Skeletal
pancreas_ENCSR457GKL	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/pancreas_ENCSR457GKL_predictions.tsv.gz	Pancreas
pancreas_ENCSR941LUR	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/pancreas_ENCSR941LUR_predictions.tsv.gz	Pancreas
fibroblast_of_lung_ENCSR992LCP	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/fibroblast_of_lung_ENCSR992LCP_predictions.tsv.gz	Lung
colon_ENCSR317DZP	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/colon_ENCSR317DZP_predictions.tsv.gz	Colon_Sigmoid,Colon_Transverse
GM12878_ENCSR734LVS	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/GM12878_ENCSR734LVS_predictions.tsv.gz	Cells_EBV-transformed_lymphocytes
heart_ENCSR694QVV	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/heart_ENCSR694QVV_predictions.tsv.gz	Heart_Left_Ventricle
liver_ENCSR075EAY	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/liver_ENCSR075EAY_predictions.tsv.gz	Liver
K562_ENCSR923RDF	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/K562_ENCSR923RDF_predictions.tsv.gz	Whole_Blood,Spleen
skin_epidermis_ENCSR384TCF	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/skin_epidermis_ENCSR384TCF_predictions.tsv.gz	Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg
skin_epidermis_ENCSR966GXF	/oak/stanford/groups/engreitz/Projects/Benchmarking/Revisions/Predictors/EPIraction/prediction_files/predictions/skin_epidermis_ENCSR966GXF_predictions.tsv.gz	Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg
